time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.001,0.24,0.96,0.03,0.2,-0.01,0.17,-0.01,-0.08,0.04
0.002,0.24,0.98,0.01,0.2,-0.01,0.17,-0.01,-0.08,0.04
0.002,0.24,0.98,0.01,0.2,-0.01,0.17,0.02,-0.13,0
0.003,0.24,0.98,0.01,0.15,0.14,-0.08,0.02,-0.13,0
0.04,0.19,0.95,0.01,0.15,0.14,-0.08,0.02,-0.13,0
0.045,0.19,0.95,0.01,0.15,0.14,-0.08,0.02,0.03,-0.03
0.045,0.19,0.95,0.01,-0.34,-0.19,-0.03,0.02,0.03,-0.03
0.055,0.19,0.95,0.01,-0.34,-0.19,-0.03,0.02,0.03,-0.03
0.079,0.22,0.99,0,-0.34,-0.19,-0.03,0.02,0.03,-0.03
0.081,0.22,0.99,0,-0.34,-0.19,-0.03,0.03,-0.03,0.01
0.083,0.22,0.99,0,-0.02,0.2,-0.15,0.03,-0.03,0.01
0.12,0.22,0.99,0,0.29,0.07,0.07,0.03,-0.03,0.01
0.121,0.22,0.99,0,0.29,0.07,0.07,0.03,-0.03,0.01
0.121,0.25,0.97,0.02,0.29,0.07,0.07,0.03,-0.03,0.01
0.122,0.25,0.97,0.02,0.29,0.07,0.07,0.01,-0.06,0
0.159,0.2,0.97,0,0.29,0.07,0.07,0.01,-0.06,0
0.161,0.2,0.97,0,0.29,0.07,0.07,0.02,-0.01,-0.04
0.162,0.2,0.97,0,-0.16,0.07,-0.07,0.02,-0.01,-0.04
0.177,0.2,0.97,0,-0.16,0.07,-0.07,0.02,-0.01,-0.04
0.208,0.23,0.96,0.01,-0.16,0.07,-0.07,0.02,-0.01,-0.04
0.213,0.23,0.96,0.01,-0.16,0.07,-0.07,0.02,-0.05,-0.04
0.219,0.23,0.96,0.01,0.14,-0.06,0,0.02,-0.05,-0.04
0.237,0.23,0.96,0.01,0.14,-0.06,0,0.02,-0.05,-0.04
0.237,0.2,0.98,0,0.14,-0.06,0,0.02,-0.05,-0.04
0.238,0.2,0.98,0,0.14,-0.06,0,0.02,-0.02,-0.06
0.239,0.2,0.98,0,-0.18,0.1,-0.07,0.02,-0.02,-0.06
0.277,0.21,0.97,0.02,-0.18,0.1,-0.07,0.02,-0.02,-0.06
0.279,0.21,0.97,0.02,-0.18,0.1,-0.07,0.03,-0.07,-0.05
0.28,0.21,0.97,0.02,-0.06,0.02,0.09,0.03,-0.07,-0.05
