time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.007,-0.31,1,0.01,0.19,0.1,0.26,-0.02,0.07,0.02
0.008,-0.31,1,0.01,0.19,0.1,0.26,0.05,-0.05,-0.09
0.009,-0.31,1,0.01,0.22,0.1,0.27,0.05,-0.05,-0.09
0.026,-0.26,0.98,-0.02,0.22,0.1,0.27,0.05,-0.05,-0.09
0.041,-0.26,0.98,-0.02,0.22,0.1,0.27,0.05,-0.05,-0.09
0.045,-0.21,0.97,-0.02,0.22,0.1,0.27,0.05,-0.05,-0.09
0.046,-0.21,0.97,-0.02,0.22,0.1,0.27,0.01,0.03,-0.02
0.046,-0.21,0.97,-0.02,-0.31,-0.02,-0.1,0.01,0.03,-0.02
0.065,-0.18,1,0.01,-0.31,-0.02,-0.1,0.01,0.03,-0.02
0.085,-0.17,1,0,-0.31,-0.02,-0.1,0.01,0.03,-0.02
0.086,-0.17,1,0,-0.31,-0.02,-0.1,-0.01,-0.07,0.05
0.086,-0.17,1,0,0.15,0.05,-0.01,-0.01,-0.07,0.05
0.099,-0.17,1,0,0.15,0.05,-0.01,-0.01,-0.07,0.05
0.105,-0.22,0.99,0,0.15,0.05,-0.01,-0.01,-0.07,0.05
0.138,-0.22,0.99,0.01,0.15,0.05,-0.01,-0.01,-0.07,0.05
0.141,-0.22,0.99,0.01,0.15,0.05,-0.01,-0.01,-0.01,0
0.143,-0.22,0.99,0.01,0.15,0.05,-0.01,-0.01,-0.01,0
0.161,-0.19,0.97,-0.01,0.15,0.05,-0.01,-0.01,-0.01,0
0.162,-0.19,0.97,-0.01,0.15,0.05,-0.01,-0.01,-0.01,0
0.17,-0.19,0.99,-0.01,0.15,0.05,-0.01,-0.01,-0.01,0
0.173,-0.19,0.99,-0.01,0.15,0.05,-0.01,0,-0.02,0
0.174,-0.19,0.99,-0.01,-0.08,-0.03,0.02,0,-0.02,0
0.184,-0.21,1,-0.01,-0.08,-0.03,0.02,0,-0.02,0
0.213,-0.22,0.98,0,-0.08,-0.03,0.02,0,-0.02,0
0.214,-0.22,0.98,0,-0.08,-0.03,0.02,-0.02,0.03,0
0.215,-0.22,0.98,0,-0.04,0,-0.06,-0.02,0.03,0
0.222,-0.22,0.98,0,-0.04,0,-0.06,-0.02,0.03,0
0.225,-0.2,0.98,0.03,-0.04,0,-0.06,-0.02,0.03,0
0.244,-0.19,0.99,0.02,-0.04,0,-0.06,-0.02,0.03,0
0.245,-0.19,0.99,0.02,-0.04,0,-0.06,-0.02,0.02,0
0.246,-0.19,0.99,0.02,-0.04,0,-0.07,-0.02,0.02,0
0.263,-0.2,0.99,0.01,-0.04,0,-0.07,-0.02,0.02,0
0.28,-0.2,0.99,0.01,-0.04,0,-0.07,-0.02,0.02,0
0.283,-0.2,0.98,0.01,-0.04,0,-0.07,-0.02,0.02,0
0.285,-0.2,0.98,0.01,-0.04,0,-0.07,0.01,-0.02,0
0.287,-0.2,0.98,0.01,0.04,-0.01,0.22,0.01,-0.02,0
0.318,-0.21,0.99,-0.01,0.04,-0.01,0.22,0.01,-0.02,0
0.324,-0.21,0.99,-0.01,0.04,-0.01,0.22,0.01,-0.02,0
0.325,-0.21,0.99,-0.01,0.04,-0.01,0.22,0.03,-0.01,0
0.326,-0.21,0.99,-0.01,-0.06,-0.04,0.01,0.03,-0.01,0
0.344,-0.21,0.99,-0.01,-0.06,-0.04,0.01,0.03,-0.01,0
0.346,-0.2,0.99,0,-0.06,-0.04,0.01,0.03,-0.01,0
0.362,-0.2,0.99,0,-0.06,-0.04,0.01,0.03,-0.01,0
0.363,-0.2,0.99,0,-0.06,-0.04,0.01,0.02,-0.03,0
0.364,-0.2,0.99,0,-0.06,-0.04,0.01,0.02,-0.03,0
0.382,-0.2,0.99,0,-0.06,-0.04,0.01,0.02,-0.03,0
0.4,-0.2,0.99,0,-0.06,-0.04,0.01,0.02,-0.03,0
0.402,-0.19,1,-0.02,-0.06,-0.04,0.01,0.02,-0.03,0
0.403,-0.19,1,-0.02,-0.06,-0.04,0.01,0.01,-0.02,0
0.405,-0.19,1,-0.02,0.02,0.01,0.01,0.01,-0.02,0
0.431,-0.17,0.99,0,0.02,0.01,0.01,0.01,-0.02,0
0.451,-0.2,0.99,-0.01,0.02,0.01,0.01,0.01,-0.02,0
0.452,-0.2,0.99,-0.01,0.02,0.01,0.01,0,0,-0.02
0.453,-0.2,0.99,-0.01,0.12,0.03,-0.06,0,0,-0.02
0.459,-0.2,0.99,-0.01,0.12,0.03,-0.06,0,0,-0.02
0.46,-0.23,0.99,0.01,0.12,0.03,-0.06,0,0,-0.02
0.482,-0.22,1,0.02,0.12,0.03,-0.06,0,0,-0.02
0.484,-0.22,1,0.02,0.12,0.03,-0.06,-0.02,0.11,-0.06
0.485,-0.22,1,0.02,0.13,0.03,-0.05,-0.02,0.11,-0.06
0.501,-0.23,0.99,0.03,0.13,0.03,-0.05,-0.02,0.11,-0.06
0.52,-0.23,0.99,0.03,0.13,0.03,-0.05,-0.02,0.11,-0.06
0.523,-0.26,0.97,0.03,0.13,0.03,-0.05,-0.02,0.11,-0.06
0.524,-0.26,0.97,0.03,0.13,0.03,-0.05,-0.01,0.15,-0.03
0.525,-0.26,0.97,0.03,-0.25,0.02,0.25,-0.01,0.15,-0.03
0.555,-0.25,0.95,0.06,-0.25,0.02,0.25,-0.01,0.15,-0.03
0.567,-0.25,0.95,0.06,-0.31,-0.21,0.59,-0.01,0.15,-0.03
0.569,-0.19,0.99,0.07,-0.31,-0.21,0.59,-0.01,0.15,-0.03
0.57,-0.19,0.99,0.07,-0.31,-0.21,0.59,0.03,0.13,0.06
0.58,-0.19,0.99,0.07,-0.31,-0.21,0.59,0.03,0.13,0.06
0.583,-0.18,1,0.01,-0.31,-0.21,0.59,0.03,0.13,0.06
