time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.01,-0.14,1,-0.01,-0.09,0.01,-0.08,-0.08,0.21,-0.02
0.011,-0.14,1,-0.01,-0.09,0.01,-0.08,-0.06,0.15,-0.04
0.012,-0.14,1,-0.01,-0.12,0.02,-0.1,-0.06,0.15,-0.04
0.043,-0.14,1,-0.01,-0.12,0.02,-0.1,-0.06,0.15,-0.04
0.05,-0.16,0.99,0.02,-0.12,0.02,-0.1,-0.06,0.15,-0.04
0.051,-0.16,0.99,0.02,-0.12,0.02,-0.1,-0.06,0.12,-0.01
0.051,-0.16,0.99,0.02,-0.35,-0.09,0.16,-0.06,0.12,-0.01
0.09,-0.11,1,0,-0.35,-0.09,0.16,-0.06,0.12,-0.01
0.091,-0.11,1,0,-0.35,-0.09,0.16,-0.06,0.12,0
0.092,-0.11,1,0,0.17,0.02,-0.07,-0.06,0.12,0
0.1,-0.11,1,0,0.17,0.02,-0.07,-0.06,0.12,0
0.142,-0.15,1,-0.01,0.17,0.02,-0.07,-0.06,0.12,0
0.153,-0.15,1,-0.01,0.17,0.02,-0.07,-0.06,0.19,-0.02
0.157,-0.15,1,-0.01,-0.25,0.06,-0.22,-0.06,0.19,-0.02
0.187,-0.15,1,-0.01,-0.25,0.06,-0.22,-0.06,0.19,-0.02
0.188,-0.13,0.99,0.01,-0.25,0.06,-0.22,-0.06,0.19,-0.02
0.189,-0.13,0.99,0.01,-0.25,0.06,-0.22,-0.09,0.16,-0.01
0.189,-0.13,0.99,0.01,-0.04,-0.1,-0.07,-0.09,0.16,-0.01
0.209,-0.16,1.01,-0.02,-0.04,-0.1,-0.07,-0.09,0.16,-0.01
0.21,-0.16,1.01,-0.02,-0.04,-0.1,-0.07,-0.13,0.26,0.02
0.211,-0.16,1.01,-0.02,-0.3,0.16,-0.35,-0.13,0.26,0.02
0.22,-0.16,1.01,-0.02,-0.3,0.16,-0.35,-0.13,0.26,0.02
0.25,-0.18,1.01,-0.02,-0.3,0.16,-0.35,-0.13,0.26,0.02
0.251,-0.18,1.01,-0.02,-0.3,0.16,-0.35,-0.22,0.47,0.07
0.252,-0.18,1.01,-0.02,-0.47,0.12,-0.44,-0.22,0.47,0.07
0.28,-0.18,1.01,-0.02,-0.47,0.12,-0.44,-0.22,0.47,0.07
0.287,-0.3,1,0.03,-0.47,0.12,-0.44,-0.22,0.47,0.07
0.288,-0.3,1,0.03,-0.47,0.12,-0.44,-0.28,0.49,0.23
0.288,-0.3,1,0.03,-1.71,0.01,-0.04,-0.28,0.49,0.23
0.335,-0.16,0.93,0.11,-1.71,0.01,-0.04,-0.28,0.49,0.23
0.335,-0.16,0.93,0.11,-1.71,0.01,-0.04,-0.22,0.15,0.38
0.336,-0.16,0.93,0.11,-0.5,-0.66,0.66,-0.22,0.15,0.38
0.341,-0.16,0.93,0.11,-0.5,-0.66,0.66,-0.22,0.15,0.38
0.365,-0.08,1.04,0.15,-0.5,-0.66,0.66,-0.22,0.15,0.38
0.365,-0.08,1.04,0.15,-0.5,-0.66,0.66,-0.02,0.34,0.41
0.365,-0.08,1.04,0.15,0.14,0.35,1.05,-0.02,0.34,0.41
0.4,-0.08,1.04,0.15,0.14,0.35,1.05,-0.02,0.34,0.41
0.407,-0.12,1.03,0.18,0.14,0.35,1.05,-0.02,0.34,0.41
0.407,-0.12,1.03,0.18,0.14,0.35,1.05,0.21,0.25,0.47
0.409,-0.12,1.03,0.18,-0.46,0.22,1.39,0.21,0.25,0.47
0.452,-0.07,1.1,0.14,-0.46,0.22,1.39,0.21,0.25,0.47
0.453,-0.07,1.1,0.14,-0.46,0.22,1.39,0.38,-0.33,0.47
0.454,-0.07,1.1,0.14,-0.18,0.92,1.12,0.38,-0.33,0.47
0.461,-0.07,1.1,0.14,-0.18,0.92,1.12,0.38,-0.33,0.47
0.485,0.17,1.37,0,-0.18,0.92,1.12,0.38,-0.33,0.47
0.486,0.17,1.37,0,-0.18,0.92,1.12,0.42,-0.71,0.38
0.487,0.17,1.37,0,2.02,3.49,-0.04,0.42,-0.71,0.38
0.519,0.17,1.37,0,2.02,3.49,-0.04,0.42,-0.71,0.38
0.531,0.67,1.46,0.05,2.02,3.49,-0.04,0.42,-0.71,0.38
0.532,0.67,1.46,0.05,2.02,3.49,-0.04,0.35,-0.82,0.07
0.532,0.67,1.46,0.05,6.76,4.29,0.54,0.35,-0.82,0.07
0.565,0.27,1.68,-0.03,6.76,4.29,0.54,0.35,-0.82,0.07
0.566,0.27,1.68,-0.03,6.76,4.29,0.54,0.77,-0.17,-1.25
0.567,0.27,1.68,-0.03,3.32,6.38,0.09,0.77,-0.17,-1.25
0.579,0.27,1.68,-0.03,3.32,6.38,0.09,0.77,-0.17,-1.25
0.605,-0.45,1.63,-0.18,3.32,6.38,0.09,0.77,-0.17,-1.25
0.607,-0.45,1.63,-0.18,3.32,6.38,0.09,1.29,-0.55,-2.56
0.608,-0.45,1.63,-0.18,-2.7,5.98,-0.88,1.29,-0.55,-2.56
0.639,-0.45,1.63,-0.18,-2.7,5.98,-0.88,1.29,-0.55,-2.56
0.648,0.18,1.39,-0.04,-2.7,5.98,-0.88,1.29,-0.55,-2.56
0.65,0.18,1.39,-0.04,-2.7,5.98,-0.88,1.15,-1.83,-2.53
0.651,0.18,1.39,-0.04,4.53,3.8,0.71,1.15,-1.83,-2.53
0.684,0.16,0.89,0.14,4.53,3.8,0.71,1.15,-1.83,-2.53
0.685,0.16,0.89,0.14,4.53,3.8,0.71,0.82,-0.8,-2.17
0.686,0.16,0.89,0.14,5.06,-0.74,2.68,0.82,-0.8,-2.17
0.699,0.16,0.89,0.14,5.06,-0.74,2.68,0.82,-0.8,-2.17
0.723,-0.02,0.67,0.05,5.06,-0.74,2.68,0.82,-0.8,-2.17
0.726,-0.02,0.67,0.05,5.06,-0.74,2.68,0.8,-0.11,-1.03
0.728,-0.02,0.67,0.05,3.63,-2.67,2.03,0.8,-0.11,-1.03
0.762,-0.02,0.67,0.05,3.63,-2.67,2.03,0.8,-0.11,-1.03
0.771,0.18,0.5,0.03,3.63,-2.67,2.03,0.8,-0.11,-1.03
0.771,0.18,0.5,0.03,3.63,-2.67,2.03,0.55,-0.02,0.38
0.772,0.18,0.5,0.03,5.33,-4.3,1.98,0.55,-0.02,0.38
0.802,0.02,0.39,-0.06,5.33,-4.3,1.98,0.55,-0.02,0.38
0.803,0.02,0.39,-0.06,5.33,-4.3,1.98,0.28,0.72,1.34
0.804,0.02,0.39,-0.06,3.17,-5.43,1.29,0.28,0.72,1.34
0.82,0.02,0.39,-0.06,3.17,-5.43,1.29,0.28,0.72,1.34
0.842,-0.25,0.39,-0.21,3.17,-5.43,1.29,0.28,0.72,1.34
0.844,-0.25,0.39,-0.21,3.17,-5.43,1.29,0.01,0.95,1.96
0.845,-0.25,0.39,-0.21,-0.26,-5.53,-0.02,0.01,0.95,1.96
0.882,-0.25,0.39,-0.21,-0.26,-5.53,-0.02,0.01,0.95,1.96
0.886,-0.44,0.4,-0.29,-0.26,-5.53,-0.02,0.01,0.95,1.96
0.889,-0.44,0.4,-0.29,-2.9,-5.49,-0.92,0.01,0.95,1.96
0.891,-0.44,0.4,-0.29,-2.9,-5.49,-0.92,-0.23,0.58,2.05
0.922,-0.59,0.54,-0.35,-2.9,-5.49,-0.92,-0.23,0.58,2.05
0.924,-0.59,0.54,-0.35,-2.9,-5.49,-0.92,-0.28,0.42,1.4
0.926,-0.59,0.54,-0.35,-4.86,-4.15,-1.53,-0.28,0.42,1.4
0.941,-0.59,0.54,-0.35,-4.86,-4.15,-1.53,-0.28,0.42,1.4
0.961,-0.69,0.5,-0.39,-4.86,-4.15,-1.53,-0.28,0.42,1.4
0.963,-0.69,0.5,-0.39,-4.86,-4.15,-1.53,-0.13,0.57,0.14
0.965,-0.69,0.5,-0.39,-5.75,-4.51,-1.92,-0.13,0.57,0.14
0.999,-0.73,0.57,-0.47,-5.75,-4.51,-1.92,-0.13,0.57,0.14
1.003,-0.73,0.57,-0.47,-5.75,-4.51,-1.92,0.32,0.93,-0.89
1.005,-0.73,0.57,-0.47,-5.75,-4.51,-1.92,0.32,0.93,-0.89
1.007,-0.73,0.57,-0.47,-5.85,-3.67,-2.52,0.32,0.93,-0.89
1.048,-0.2,2.67,-0.76,-5.85,-3.67,-2.52,0.32,0.93,-0.89
1.051,-0.2,2.67,-0.76,-5.85,-3.67,-2.52,0.8,0.85,-1.56
1.053,-0.2,2.67,-0.76,-0.13,16.73,-4.9,0.8,0.85,-1.56
1.059,-0.2,2.67,-0.76,-0.13,16.73,-4.9,0.8,0.85,-1.56
1.09,-0.23,0.27,-0.08,-0.13,16.73,-4.9,0.8,0.85,-1.56
1.092,-0.23,0.27,-0.08,-0.13,16.73,-4.9,-0.31,0.27,-0.67
1.092,-0.23,0.27,-0.08,-0.23,-6.61,1.6,-0.31,0.27,-0.67
1.119,-1.1,0.73,-0.3,-0.23,-6.61,1.6,-0.31,0.27,-0.67
1.122,-1.1,0.73,-0.3,-0.23,-6.61,1.6,0.25,1.56,-0.67
1.124,-1.1,0.73,-0.3,-8.47,-1.98,-0.32,0.25,1.56,-0.67
1.127,-1.1,0.73,-0.3,-8.47,-1.98,-0.32,0.25,1.56,-0.67
1.158,-0.3,1.37,-0.43,-8.47,-1.98,-0.32,0.25,1.56,-0.67
1.16,-0.3,1.37,-0.43,-8.47,-1.98,-0.32,0.26,-0.06,0.13
1.161,-0.3,1.37,-0.43,-0.66,4.23,-1.42,0.26,-0.06,0.13
1.189,-0.3,1.37,-0.43,-0.66,4.23,-1.42,0.26,-0.06,0.13
1.201,-0.4,0.92,-0.39,-0.66,4.23,-1.42,0.26,-0.06,0.13
1.202,-0.4,0.92,-0.39,-0.66,4.23,-1.42,0.03,0,0.51
1.203,-0.4,0.92,-0.39,-1.79,-0.25,-1,0.03,0,0.51
1.241,-0.34,0.94,-0.42,-1.79,-0.25,-1,0.03,0,0.51
1.244,-0.34,0.94,-0.42,-1.79,-0.25,-1,-0.17,0.12,0.69
1.245,-0.34,0.94,-0.42,-1.79,-0.25,-1,-0.17,0.12,0.69
1.246,-0.34,0.94,-0.42,-1.49,-0.1,-1.37,-0.17,0.12,0.69
1.289,-0.1,0.98,-0.35,-1.49,-0.1,-1.37,-0.17,0.12,0.69
1.292,-0.1,0.98,-0.35,-1.49,-0.1,-1.37,-0.35,-0.38,0.78
1.293,-0.1,0.98,-0.35,0.62,0.19,-0.78,-0.35,-0.38,0.78
1.299,-0.1,0.98,-0.35,0.62,0.19,-0.78,-0.35,-0.38,0.78
1.317,0.02,0.91,-0.21,0.62,0.19,-0.78,-0.35,-0.38,0.78
1.32,0.02,0.91,-0.21,0.62,0.19,-0.78,-0.41,-0.32,0.76
1.32,0.02,0.91,-0.21,1.51,-0.6,0.38,-0.41,-0.32,0.76
1.359,-0.04,0.92,-0.17,1.51,-0.6,0.38,-0.41,-0.32,0.76
1.366,-0.04,0.92,-0.17,1.51,-0.6,0.38,-0.31,-0.01,0.58
1.369,-0.04,0.92,-0.17,0.74,-0.47,0.67,-0.31,-0.01,0.58
1.37,-0.04,0.92,-0.17,0.74,-0.47,0.67,-0.31,-0.01,0.58
1.397,0.12,0.91,-0.07,0.74,-0.47,0.67,-0.31,-0.01,0.58
1.399,0.12,0.91,-0.07,0.74,-0.47,0.67,-0.17,-0.2,0.4
1.4,0.12,0.91,-0.07,2.05,-0.58,1.48,-0.17,-0.2,0.4
1.419,0.12,0.91,-0.07,2.05,-0.58,1.48,-0.17,-0.2,0.4
1.435,0.21,0.98,-0.14,2.05,-0.58,1.48,-0.17,-0.2,0.4
1.438,0.21,0.98,-0.14,2.05,-0.58,1.48,0.02,0,0.07
1.44,0.21,0.98,-0.14,2.92,0.02,0.87,0.02,0,0.07
1.475,0.15,1.12,-0.29,2.92,0.02,0.87,0.02,0,0.07
1.478,0.15,1.12,-0.29,2.92,0.02,0.87,0.12,0.18,-0.24
1.479,0.15,1.12,-0.29,2.37,1.47,-0.56,0.12,0.18,-0.24
1.48,0.15,1.12,-0.29,2.37,1.47,-0.56,0.12,0.18,-0.24
1.516,0.15,1.12,-0.29,-0.22,2.15,-1.21,0.12,0.18,-0.24
1.518,-0.13,1.2,-0.36,-0.22,2.15,-1.21,0.12,0.18,-0.24
1.519,-0.13,1.2,-0.36,-0.22,2.15,-1.21,0,-0.22,-0.41
1.539,-0.13,1.2,-0.36,-0.22,2.15,-1.21,0,-0.22,-0.41
1.568,-0.2,1.33,-0.43,-0.22,2.15,-1.21,0,-0.22,-0.41
1.571,-0.2,1.33,-0.43,-0.22,2.15,-1.21,-0.26,-0.6,-0.31
1.572,-0.2,1.33,-0.43,-0.69,3.35,-2.01,-0.26,-0.6,-0.31
1.597,-0.39,1.65,-0.16,-0.69,3.35,-2.01,-0.26,-0.6,-0.31
1.599,-0.39,1.65,-0.16,-0.69,3.35,-2.01,-0.47,-0.9,-0.01
