time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.003,0.22,0.98,-0.09,-0.01,0.04,0.02,0.02,-0.04,0.04
0.006,0.22,0.98,-0.09,-0.01,0.04,0.02,0.03,-0.07,0.03
0.007,0.22,0.98,-0.09,-0.25,-0.09,0.01,0.03,-0.07,0.03
0.014,0.23,1.01,-0.08,-0.25,-0.09,0.01,0.03,-0.07,0.03
0.028,0.15,0.97,-0.08,-0.25,-0.09,0.01,0.03,-0.07,0.03
0.029,0.15,0.97,-0.08,-0.25,-0.09,0.01,0.02,0.05,0.01
0.029,0.15,0.97,-0.08,-0.26,-0.09,0.02,0.02,0.05,0.01
0.032,0.15,0.97,-0.08,-0.26,-0.09,0.02,0.02,0.05,0.01
0.048,0.16,0.95,-0.09,-0.26,-0.09,0.02,0.02,0.05,0.01
0.068,0.2,0.98,-0.07,-0.26,-0.09,0.02,0.02,0.05,0.01
0.069,0.2,0.98,-0.07,-0.26,-0.09,0.02,0.02,0.01,0.03
0.069,0.2,0.98,-0.07,-0.38,-0.02,0.05,0.02,0.01,0.03
0.088,0.22,0.99,-0.08,-0.38,-0.02,0.05,0.02,0.01,0.03
0.092,0.22,0.99,-0.08,-0.38,-0.02,0.05,0.02,0.01,0.03
0.108,0.23,0.98,-0.07,-0.38,-0.02,0.05,0.02,0.01,0.03
0.109,0.23,0.98,-0.07,-0.38,-0.02,0.05,0.02,-0.11,0.05
0.11,0.23,0.98,-0.07,-0.04,0.03,0.12,0.02,-0.11,0.05
0.128,0.21,0.96,-0.1,-0.04,0.03,0.12,0.02,-0.11,0.05
0.175,0.18,0.97,-0.11,-0.04,0.03,0.12,0.02,-0.11,0.05
0.176,0.18,0.97,-0.11,-0.04,0.03,0.12,0.03,0,0.03
0.178,0.18,0.97,-0.11,-0.05,0.03,0.13,0.03,0,0.03
0.18,0.18,0.97,-0.11,-0.05,0.03,0.13,0.03,0,0.03
0.182,0.18,0.98,-0.09,-0.05,0.03,0.13,0.03,0,0.03
0.214,0.22,0.97,-0.08,-0.05,0.03,0.13,0.03,0,0.03
0.215,0.22,0.97,-0.08,-0.05,0.03,0.13,0.01,-0.03,0.03
0.217,0.22,0.97,-0.08,-0.32,-0.08,-0.07,0.01,-0.03,0.03
0.218,0.23,0.98,-0.08,-0.32,-0.08,-0.07,0.01,-0.03,0.03
0.219,0.23,0.98,-0.08,-0.32,-0.08,-0.07,0.01,-0.03,0.03
0.229,0.22,0.97,-0.06,-0.32,-0.08,-0.07,0.01,-0.03,0.03
0.232,0.22,0.97,-0.06,-0.32,-0.08,-0.07,0.02,-0.05,0.04
0.233,0.22,0.97,-0.06,-0.01,-0.01,0.18,0.02,-0.05,0.04
0.252,0.2,0.98,-0.08,-0.01,-0.01,0.18,0.02,-0.05,0.04
0.275,0.21,0.98,-0.1,-0.01,-0.01,0.18,0.02,-0.05,0.04
0.276,0.21,0.98,-0.1,-0.01,-0.01,0.18,0.04,0.01,0.01
0.277,0.21,0.98,-0.1,-0.01,-0.01,0.19,0.04,0.01,0.01
0.278,0.21,0.98,-0.1,-0.01,-0.01,0.19,0.04,0.01,0.01
0.286,0.23,0.94,-0.11,-0.01,-0.01,0.19,0.04,0.01,0.01
0.308,0.19,0.97,-0.13,-0.01,-0.01,0.19,0.04,0.01,0.01
0.311,0.19,0.97,-0.13,-0.01,-0.01,0.19,0.04,-0.01,0
