time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.005,-0.11,1,-0.09,-0.54,0,0.26,0.08,-0.17,0.09
0.02,-0.11,1,-0.09,-0.54,0,0.26,0.08,-0.17,0.09
0.024,-0.23,1.01,-0.1,-0.54,0,0.26,0.08,-0.17,0.09
0.025,-0.23,1.01,-0.1,-0.54,0,0.26,0.02,0.02,0.05
0.026,-0.23,1.01,-0.1,0.67,0,-0.24,0.02,0.02,0.05
0.052,-0.21,0.99,-0.11,0.67,0,-0.24,0.02,0.02,0.05
0.071,-0.15,0.99,-0.11,0.67,0,-0.24,0.02,0.02,0.05
0.072,-0.15,0.99,-0.11,0.67,0,-0.24,-0.02,0.11,-0.03
0.073,-0.15,0.99,-0.11,-0.13,0.08,-0.16,-0.02,0.11,-0.03
0.08,-0.15,0.99,-0.11,-0.13,0.08,-0.16,-0.02,0.11,-0.03
0.084,-0.16,0.99,-0.09,-0.13,0.08,-0.16,-0.02,0.11,-0.03
0.104,-0.2,1,-0.1,-0.13,0.08,-0.16,-0.02,0.11,-0.03
0.105,-0.2,1,-0.1,-0.13,0.08,-0.16,-0.03,-0.03,-0.02
0.106,-0.2,1,-0.1,-0.12,0.08,-0.17,-0.03,-0.03,-0.02
0.124,-0.21,0.98,-0.08,-0.12,0.08,-0.17,-0.03,-0.03,-0.02
0.142,-0.21,0.98,-0.08,-0.12,0.08,-0.17,-0.03,-0.03,-0.02
0.147,-0.19,1,-0.07,-0.12,0.08,-0.17,-0.03,-0.03,-0.02
0.148,-0.19,1,-0.07,-0.12,0.08,-0.17,-0.02,0.02,-0.02
0.15,-0.19,1,-0.07,-0.04,0,0.01,-0.02,0.02,-0.02
0.174,-0.19,1.01,-0.09,-0.04,0,0.01,-0.02,0.02,-0.02
0.184,-0.18,0.99,-0.1,-0.04,0,0.01,-0.02,0.02,-0.02
0.187,-0.18,0.99,-0.1,-0.04,0,0.01,0,-0.07,0
0.188,-0.18,0.99,-0.1,0,0.08,0.01,0,-0.07,0
0.211,-0.18,0.99,-0.1,0,0.08,0.01,0,-0.07,0
0.214,-0.18,0.99,-0.11,0,0.08,0.01,0,-0.07,0
0.224,-0.19,0.99,-0.13,0,0.08,0.01,0,-0.07,0
0.227,-0.19,0.99,-0.13,0,0.08,0.01,-0.01,-0.11,0
0.23,-0.19,0.99,-0.13,0.01,0.08,0,-0.01,-0.11,0
0.243,-0.2,1.01,-0.11,0.01,0.08,0,-0.01,-0.11,0
0.264,-0.2,1.01,-0.11,0.01,0.08,0,-0.01,-0.11,0
0.265,-0.18,0.99,-0.09,0.01,0.08,0,-0.01,-0.11,0
0.267,-0.18,0.99,-0.09,0.01,0.08,0,-0.06,-0.09,0
0.268,-0.18,0.99,-0.09,-0.02,0.07,-0.31,-0.06,-0.09,0
0.284,-0.17,0.99,-0.08,-0.02,0.07,-0.31,-0.06,-0.09,0
0.302,-0.18,1,-0.09,-0.02,0.07,-0.31,-0.06,-0.09,0
0.303,-0.18,1,-0.09,-0.02,0.07,-0.31,-0.08,-0.1,0
0.303,-0.18,1,-0.09,0.1,0.04,-0.02,-0.08,-0.1,0
0.32,-0.18,1,-0.09,0.1,0.04,-0.02,-0.08,-0.1,0
0.321,-0.21,0.98,-0.07,0.1,0.04,-0.02,-0.08,-0.1,0
0.341,-0.22,0.98,-0.06,0.1,0.04,-0.02,-0.08,-0.1,0
0.342,-0.22,0.98,-0.06,0.1,0.04,-0.02,-0.07,-0.03,-0.01
0.342,-0.22,0.98,-0.06,0.1,0.04,-0.05,-0.07,-0.03,-0.01
0.362,-0.18,1,-0.07,0.1,0.04,-0.05,-0.07,-0.03,-0.01
0.389,-0.18,1,-0.07,0.1,0.04,-0.05,-0.07,-0.03,-0.01
0.39,-0.17,1.01,-0.08,0.1,0.04,-0.05,-0.07,-0.03,-0.01
0.391,-0.17,1.01,-0.08,0.1,0.04,-0.05,-0.05,-0.06,0.02
0.391,-0.17,1.01,-0.08,-0.16,-0.01,0.11,-0.05,-0.06,0.02
0.401,-0.16,0.97,-0.09,-0.16,-0.01,0.11,-0.05,-0.06,0.02
0.421,-0.16,1,-0.1,-0.16,-0.01,0.11,-0.05,-0.06,0.02
0.422,-0.16,1,-0.1,0.24,0.02,-0.16,-0.05,-0.06,0.02
0.423,-0.16,1,-0.1,0.24,0.02,-0.16,-0.04,-0.09,0.02
0.441,-0.16,1,-0.1,0.24,0.02,-0.16,-0.04,-0.09,0.02
0.442,-0.16,1.02,-0.1,0.24,0.02,-0.16,-0.04,-0.09,0.02
0.462,-0.16,0.99,-0.07,0.24,0.02,-0.16,-0.04,-0.09,0.02
0.465,-0.16,0.99,-0.07,0.24,0.02,-0.16,-0.06,-0.05,-0.01
0.466,-0.16,0.99,-0.07,0.24,0.01,-0.18,-0.06,-0.05,-0.01
0.505,-0.15,0.99,-0.07,0.24,0.01,-0.18,-0.06,-0.05,-0.01
0.506,-0.15,0.99,-0.06,0.24,0.01,-0.18,-0.06,-0.05,-0.01
0.507,-0.15,0.99,-0.06,0.24,0.01,-0.18,-0.08,-0.01,-0.06
0.508,-0.15,0.99,-0.06,0.33,0.11,-0.12,-0.08,-0.01,-0.06
0.509,-0.15,0.99,-0.06,0.33,0.11,-0.12,-0.08,-0.01,-0.06
0.525,-0.19,0.98,-0.07,0.33,0.11,-0.12,-0.08,-0.01,-0.06
0.54,-0.2,0.98,-0.08,0.33,0.11,-0.12,-0.08,-0.01,-0.06
0.541,-0.2,0.98,-0.08,0.33,0.11,-0.12,-0.08,0.09,-0.11
0.542,-0.2,0.98,-0.08,0.11,-0.06,-0.06,-0.08,0.09,-0.11
0.559,-0.2,0.98,-0.06,0.11,-0.06,-0.06,-0.08,0.09,-0.11
0.56,-0.2,0.98,-0.06,0.11,-0.06,-0.06,-0.08,0.09,-0.11
0.58,-0.18,0.98,-0.06,0.11,-0.06,-0.06,-0.08,0.09,-0.11
0.583,-0.18,0.98,-0.06,0.11,-0.06,-0.06,-0.09,0.12,-0.11
0.584,-0.18,0.98,-0.06,0.15,-0.05,-0.09,-0.09,0.12,-0.11
0.598,-0.18,1,-0.07,0.15,-0.05,-0.09,-0.09,0.12,-0.11
0.618,-0.16,1.02,-0.07,0.15,-0.05,-0.09,-0.09,0.12,-0.11
0.622,-0.16,1.02,-0.07,0.15,-0.05,-0.09,-0.1,0.09,-0.1
0.623,-0.16,1.02,-0.07,0.1,0,-0.04,-0.1,0.09,-0.1
0.625,-0.16,1.02,-0.07,0.1,0,-0.04,-0.1,0.09,-0.1
0.638,-0.19,1.02,-0.06,0.1,0,-0.04,-0.1,0.09,-0.1
0.663,-0.23,0.96,-0.06,0.1,0,-0.04,-0.1,0.09,-0.1
0.665,-0.23,0.96,-0.06,0.1,0,-0.04,-0.1,0.11,-0.16
0.667,-0.23,0.96,-0.06,0.1,0.11,-0.05,-0.1,0.11,-0.16
0.677,-0.21,0.96,-0.07,0.1,0.11,-0.05,-0.1,0.11,-0.16
0.681,-0.21,0.96,-0.07,0.1,0.11,-0.05,-0.1,0.11,-0.16
0.725,-0.21,1.02,-0.06,0.1,0.11,-0.05,-0.1,0.11,-0.16
0.728,-0.21,1.02,-0.06,0.1,0.11,-0.05,-0.11,0.09,-0.17
0.729,-0.21,1.02,-0.06,0.16,0.12,-0.08,-0.11,0.09,-0.17
0.731,-0.21,0.98,-0.02,0.16,0.12,-0.08,-0.11,0.09,-0.17
0.738,-0.21,0.98,-0.02,0.06,0.03,0,-0.11,0.09,-0.17
0.74,-0.21,0.95,-0.02,0.06,0.03,0,-0.11,0.09,-0.17
0.741,-0.21,0.95,-0.02,0.06,0.03,0,-0.1,0.05,-0.16
0.741,-0.21,0.95,-0.02,0.06,0.03,0,-0.1,0.05,-0.16
0.757,-0.25,1.02,-0.06,0.06,0.03,0,-0.1,0.05,-0.16
0.776,-0.29,0.98,-0.06,0.06,0.03,0,-0.1,0.05,-0.16
0.777,-0.29,0.98,-0.06,0.06,0.03,0,-0.09,0.13,-0.14
0.778,-0.29,0.98,-0.06,-0.27,-0.02,0,-0.09,0.13,-0.14
0.8,-0.23,0.96,-0.03,-0.27,-0.02,0,-0.09,0.13,-0.14
0.801,-0.23,0.96,-0.03,-0.27,-0.02,0,-0.09,0.13,-0.14
0.815,-0.23,0.99,-0.03,-0.27,-0.02,0,-0.09,0.13,-0.14
0.817,-0.23,0.99,-0.03,-0.27,-0.02,0,-0.09,0.09,-0.07
0.818,-0.23,0.99,-0.03,-0.24,-0.02,-0.02,-0.09,0.09,-0.07
0.847,-0.26,0.99,-0.02,-0.24,-0.02,-0.02,-0.09,0.09,-0.07
0.855,-0.23,1,-0.03,-0.24,-0.02,-0.02,-0.09,0.09,-0.07
0.857,-0.23,1,-0.03,-0.24,-0.02,-0.02,-0.05,-0.03,-0.03
0.858,-0.23,1,-0.03,-0.15,-0.01,0.14,-0.05,-0.03,-0.03
0.86,-0.23,1,-0.03,-0.15,-0.01,0.14,-0.05,-0.03,-0.03
0.876,-0.21,0.97,-0.03,-0.15,-0.01,0.14,-0.05,-0.03,-0.03
0.897,-0.24,0.94,-0.01,-0.15,-0.01,0.14,-0.05,-0.03,-0.03
0.899,-0.24,0.94,-0.01,-0.15,-0.01,0.14,-0.03,-0.09,-0.04
0.899,-0.24,0.94,-0.01,0,-0.12,0.21,-0.03,-0.09,-0.04
0.932,-0.25,0.99,-0.04,0,-0.12,0.21,-0.03,-0.09,-0.04
0.934,-0.25,0.99,-0.04,0,-0.12,0.21,-0.03,-0.09,-0.04
0.936,-0.25,0.99,-0.04,0.01,-0.11,0.18,-0.03,-0.09,-0.04
0.937,-0.23,1,-0.08,0.01,-0.11,0.18,-0.03,-0.09,-0.04
0.938,-0.23,1,-0.08,0.01,-0.11,0.18,-0.04,-0.11,-0.04
0.955,-0.19,1,-0.05,0.01,-0.11,0.18,-0.04,-0.11,-0.04
0.982,-0.22,0.99,-0.01,0.01,-0.11,0.18,-0.04,-0.11,-0.04
0.985,-0.22,0.99,-0.01,0.01,-0.11,0.18,-0.09,-0.12,-0.05
0.987,-0.22,0.99,-0.01,0.08,0.12,-0.23,-0.09,-0.12,-0.05
0.988,-0.22,0.99,-0.01,0.08,0.12,-0.23,-0.09,-0.12,-0.05
0.993,-0.3,0.96,0.06,0.08,0.12,-0.23,-0.09,-0.12,-0.05
1.014,-0.41,0.92,0.26,0.08,0.12,-0.23,-0.09,-0.12,-0.05
1.018,-0.41,0.92,0.26,0.08,0.12,-0.23,-0.11,0.01,-0.05
1.019,-0.41,0.92,0.26,-0.78,-0.25,1.29,-0.11,0.01,-0.05
1.034,-0.45,1.01,0.29,-0.78,-0.25,1.29,-0.11,0.01,-0.05
1.04,-0.45,1.01,0.29,-0.78,-0.25,1.29,-0.11,0.01,-0.05
1.054,-0.34,0.97,0.04,-0.78,-0.25,1.29,-0.11,0.01,-0.05
1.058,-0.34,0.97,0.04,-0.78,-0.25,1.29,0.16,-0.23,0.16
1.06,-0.34,0.97,0.04,-0.83,-0.26,1.31,0.16,-0.23,0.16
1.081,-0.2,0.94,-0.15,-0.83,-0.26,1.31,0.16,-0.23,0.16
1.093,-0.27,0.98,-0.26,-0.83,-0.26,1.31,0.16,-0.23,0.16
1.094,-0.27,0.98,-0.26,-0.83,-0.26,1.31,0.34,-0.4,0.41
1.095,-0.27,0.98,-0.26,-1.12,-0.12,0.98,0.34,-0.4,0.41
1.11,-0.27,0.98,-0.26,-1.12,-0.12,0.98,0.34,-0.4,0.41
1.112,-0.2,1.06,-0.21,-1.12,-0.12,0.98,0.34,-0.4,0.41
1.134,-0.2,1.06,-0.21,-0.02,0.3,-1.63,0.34,-0.4,0.41
1.136,-0.13,1.02,-0.16,-0.02,0.3,-1.63,0.34,-0.4,0.41
1.137,-0.13,1.02,-0.16,-0.02,0.3,-1.63,0.18,-0.44,0.51
1.152,-0.1,0.83,-0.09,-0.02,0.3,-1.63,0.18,-0.44,0.51
1.16,-0.1,0.83,-0.09,-0.02,0.3,-1.63,0.18,-0.44,0.51
1.189,-0.1,0.83,-0.09,-0.23,0.26,-1.6,0.18,-0.44,0.51
1.19,0.05,0.93,-0.1,-0.23,0.26,-1.6,0.18,-0.44,0.51
1.191,0.05,0.93,-0.1,-0.23,0.26,-1.6,0.07,-0.38,0.57
1.192,0,1.13,-0.11,-0.23,0.26,-1.6,0.07,-0.38,0.57
1.223,0,1.13,-0.11,1.36,-0.32,-0.46,0.07,-0.38,0.57
1.225,-0.13,1.07,-0.05,1.36,-0.32,-0.46,0.07,-0.38,0.57
1.226,-0.13,1.07,-0.05,1.36,-0.32,-0.46,0.02,0.4,0.35
1.227,-0.13,1.07,-0.05,1.36,-0.32,-0.46,0.02,0.4,0.35
1.233,-0.27,0.96,0.02,1.36,-0.32,-0.46,0.02,0.4,0.35
1.25,-0.32,0.95,0.01,1.36,-0.32,-0.46,0.02,0.4,0.35
1.253,-0.32,0.95,0.01,1.36,-0.32,-0.46,-0.03,0.77,0.17
1.254,-0.32,0.95,0.01,-0.85,-0.06,0.48,-0.03,0.77,0.17
1.286,-0.19,1,-0.02,-0.85,-0.06,0.48,-0.03,0.77,0.17
1.289,-0.19,1,-0.02,-0.85,-0.06,0.48,-0.03,0.77,0.17
1.291,-0.07,1.02,-0.04,-0.85,-0.06,0.48,-0.03,0.77,0.17
1.292,-0.07,1.02,-0.04,-0.85,-0.06,0.48,0.07,0.43,0.35
1.297,-0.07,1.02,-0.04,-0.98,-0.08,0.52,0.07,0.43,0.35
1.319,-0.04,1.01,-0.07,-0.98,-0.08,0.52,0.07,0.43,0.35
1.329,-0.05,1.01,-0.08,-0.98,-0.08,0.52,0.07,0.43,0.35
1.329,-0.05,1.01,-0.08,0.21,0.08,0.23,0.07,0.43,0.35
1.332,-0.05,1.01,-0.08,0.21,0.08,0.23,0.12,0.49,0.4
1.338,-0.05,1.01,-0.08,0.21,0.08,0.23,0.12,0.49,0.4
1.348,0,1.01,-0.1,0.21,0.08,0.23,0.12,0.49,0.4
1.37,0.04,1.05,-0.1,0.21,0.08,0.23,0.12,0.49,0.4
1.371,0.04,1.05,-0.1,0.21,0.08,0.23,0.09,0.74,0.29
1.372,0.04,1.05,-0.1,1.01,0.22,-0.22,0.09,0.74,0.29
1.393,-0.04,1.04,-0.02,1.01,0.22,-0.22,0.09,0.74,0.29
1.401,-0.04,1.04,-0.02,1.01,0.22,-0.22,0.09,0.74,0.29
1.408,-0.14,1,0.03,1.01,0.22,-0.22,0.09,0.74,0.29
1.41,-0.14,1,0.03,1.01,0.22,-0.22,0.07,0.93,0.17
1.411,-0.14,1,0.03,0.9,0.21,-0.16,0.07,0.93,0.17
1.429,-0.21,1.03,0.05,0.9,0.21,-0.16,0.07,0.93,0.17
1.452,-0.21,1.03,0.05,-0.41,0.2,1.06,0.07,0.93,0.17
1.455,-0.18,1.02,0.01,-0.41,0.2,1.06,0.07,0.93,0.17
1.458,-0.18,1.02,0.01,-0.41,0.2,1.06,0.2,0.73,0.12
1.461,-0.18,1.02,0.01,-0.41,0.2,1.06,0.2,0.73,0.12
1.468,-0.05,1.01,-0.09,-0.41,0.2,1.06,0.2,0.73,0.12
1.491,0.06,1.14,-0.23,-0.41,0.2,1.06,0.2,0.73,0.12
1.493,0.06,1.14,-0.23,0.24,0.53,-0.01,0.2,0.73,0.12
1.494,0.06,1.14,-0.23,0.24,0.53,-0.01,0.4,0.16,0.11
1.532,0.12,1.19,-0.19,0.24,0.53,-0.01,0.4,0.16,0.11
1.535,0.12,1.19,-0.19,0.24,0.53,-0.01,0.4,0.16,0.11
1.536,0.24,1.24,-0.16,0.24,0.53,-0.01,0.4,0.16,0.11
1.538,0.24,1.24,-0.16,0.24,0.53,-0.01,0.42,0.05,-0.15
